Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total
United States,0.612,0.077,0.145,0.02,0.016,0.129,1.0
Alabama,0.598,0.075,0.116,0.036,0.025,0.149,1.0
Alaska,0.582,0.047,0.159,0.011,0.047,0.153,1.0
Arizona,0.569,0.068,0.171,0.019,0.019,0.154,1.0
Arkansas,0.545,0.073,0.195,0.036,0.018,0.132,1.0
California,0.58,0.086,0.202,0.013,0.01,0.11,1.0
Colorado,0.642,0.088,0.127,0.013,0.026,0.105,1.0
Connecticut,0.645,0.066,0.182,0.016,0.008,0.083,1.0
Delaware,0.639,0.058,0.164,0.019,0.022,0.097,1.0
District of Columbia,0.655,0.069,0.21,0.009,0.012,0.045,1.0
Florida,0.527,0.131,0.101,0.023,0.022,0.195,1.0
Georgia,0.602,0.074,0.088,0.023,0.024,0.189,1.0
Hawaii,0.697,0.052,0.141,0.016,0.037,0.058,1.0
Idaho,0.603,0.113,0.083,0.023,0.018,0.16,1.0
Illinois,0.66,0.07,0.14,0.02,0.008,0.103,1.0
Indiana,0.652,0.059,0.136,0.023,0.012,0.117,1.0
Iowa,0.679,0.069,0.155,0.015,0.012,0.07,1.0
Kansas,0.667,0.075,0.082,0.02,0.023,0.132,1.0
Kentucky,0.586,0.052,0.217,0.039,0.017,0.09,1.0
Louisiana,0.527,0.066,0.235,0.027,0.015,0.13,1.0
Maine,0.593,0.081,0.163,0.028,0.019,0.116,1.0
Maryland,0.662,0.07,0.144,0.019,0.021,0.083,1.0
Massachusetts,0.673,0.072,0.193,0.012,0.006,0.044,1.0
Michigan,0.626,0.073,0.186,0.025,0.008,0.083,1.0
Minnesota,0.704,0.068,0.137,0.015,0.008,0.066,1.0
Mississippi,0.552,0.065,0.138,0.029,0.022,0.195,1.0
Missouri,0.647,0.073,0.09,0.029,0.017,0.143,1.0
Montana,0.559,0.115,0.161,0.024,0.023,0.117,1.0
Nebraska,0.692,0.09,0.067,0.016,0.02,0.114,1.0
Nevada,0.6,0.068,0.136,0.018,0.021,0.157,1.0
New Hampshire,0.694,0.075,0.098,0.028,0.014,0.09,1.0
New Jersey,0.672,0.069,0.122,0.019,0.006,0.112,1.0
New Mexico,0.477,0.056,0.28,0.022,0.021,0.144,1.0
New York,0.613,0.071,0.219,0.017,0.005,0.076,1.0
North Carolina,0.585,0.091,0.105,0.025,0.028,0.167,1.0
North Dakota,0.666,0.121,0.091,0.013,0.023,0.087,1.0
Ohio,0.652,0.054,0.168,0.024,0.01,0.092,1.0
Oklahoma,0.573,0.074,0.083,0.03,0.024,0.217,1.0
Oregon,0.612,0.077,0.178,0.019,0.012,0.101,1.0
Pennsylvania,0.654,0.071,0.164,0.022,0.01,0.078,1.0
Rhode Island,0.651,0.073,0.186,0.02,0.009,0.061,1.0
South Carolina,0.584,0.083,0.116,0.03,0.026,0.16,1.0
South Dakota,0.639,0.107,0.072,0.019,0.026,0.138,1.0
Tennessee,0.595,0.076,0.133,0.025,0.022,0.149,1.0
Texas,0.578,0.072,0.069,0.017,0.018,0.245,1.0
Utah,0.69,0.104,0.061,0.009,0.014,0.122,1.0
Vermont,0.618,0.073,0.213,0.016,0.011,0.07,1.0
Virginia,0.658,0.068,0.092,0.024,0.047,0.112,1.0
Washington,0.655,0.066,0.148,0.017,0.02,0.094,1.0
West Virginia,0.568,0.036,0.239,0.04,0.018,0.099,1.0
Wisconsin,0.695,0.074,0.123,0.014,0.011,0.082,1.0
Wyoming,0.618,0.096,0.077,0.02,0.022,0.167,1.0
Puerto Rico,0.305,0.102,0.429,0.042,0.006,0.117,1.0
