LocationDesc,Frac_F,CHD_Deaths,CHD_Deaths_F,CHD_Deaths_M,CHDPercentage,CHDPercentage_F,CHDPercentage_M
Alabama,0.3369630973986691,90.4,30.461464004839687,59.93853599516032,0.0009040000000000001,0.00030461464004839686,0.0005993853599516033
Alaska,0.33785942492012777,72.3,24.427236421725237,47.87276357827476,0.000723,0.00024427236421725235,0.00047872763578274755
Arizona,0.3430656934306569,70.39999999999999,24.151824817518243,46.24817518248175,0.0007039999999999999,0.00024151824817518242,0.0004624817518248175
Arkansas,0.3423913043478261,169.0,57.86413043478261,111.13586956521738,0.00169,0.0005786413043478261,0.0011113586956521737
California,0.33293124246079614,66.10000000000001,22.00675512665863,44.093244873341376,0.0006610000000000001,0.00022006755126658629,0.00044093244873341376
Colorado,0.32293291731669266,49.699999999999996,16.049765990639624,33.650234009360375,0.0004969999999999999,0.00016049765990639624,0.00033650234009360375
Connecticut,0.3370346178967995,57.5,19.379490529065972,38.120509470934024,0.000575,0.00019379490529065972,0.0003812050947093402
Delaware,0.3181019332161687,63.1,20.072231985940245,43.02776801405975,0.000631,0.00020072231985940247,0.0004302776801405975
District of Columbia,0.36743951612903225,108.2,39.75695564516129,68.44304435483872,0.001082,0.0003975695564516129,0.0006844304435483872
Florida,0.3464788732394366,81.0,28.064788732394366,52.93521126760564,0.00081,0.0002806478873239437,0.0005293521126760564
Georgia,0.334924965893588,75.8,25.38731241473397,50.41268758526603,0.000758,0.0002538731241473397,0.0005041268758526603
Hawaii,0.2971887550200803,65.4,19.436144578313254,45.96385542168676,0.0006540000000000001,0.00019436144578313254,0.0004596385542168676
Idaho,0.31081081081081086,66.0,20.513513513513516,45.486486486486484,0.00066,0.00020513513513513516,0.00045486486486486487
Illinois,0.3325153374233129,70.89999999999999,23.57533742331288,47.3246625766871,0.0007089999999999999,0.0002357533742331288,0.000473246625766871
Indiana,0.32733812949640284,95.5,31.26079136690647,64.23920863309353,0.000955,0.00031260791366906473,0.0006423920863309352
Iowa,0.3274714828897339,106.7,34.941207224334605,71.7587927756654,0.001067,0.000349412072243346,0.0007175879277566539
Kansas,0.32786093674553357,90.39999999999999,29.63862868179623,60.76137131820376,0.000904,0.00029638628681796233,0.0006076137131820375
Kentucky,0.3266699171136031,124.2,40.57240370550951,83.62759629449049,0.001242,0.0004057240370550951,0.0008362759629449048
