Country_Region,first_1ConfirmedCases,first_1Fatalities,first_10ConfirmedCases,first_50ConfirmedCases,first_100ConfirmedCases,cases_growth,death_growth,Cardiovascular diseases (%),Cancers (%),"Diabetes, blood, & endocrine diseases (%)",Respiratory diseases (%),Liver disease (%),Diarrhea & common infectious diseases (%),Musculoskeletal disorders (%),HIV/AIDS and tuberculosis (%),Malaria & neglected tropical diseases (%),Nutritional deficiencies (%),pneumonia-death-rates,Share of deaths from smoking (%),alcoholic_beverages,animal_fats,animal_products,"aquatic_products,_other",cereals_-_excluding_beer,eggs,"fish,_seafood",fruits_-_excluding_wine,meat,milk_-_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_&_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,hospital_beds_per10k,hospital_density,nbr_surgeons,nbr_obstetricians,nbr_anaesthesiologists,medical_doctors_per10k,school_closure,bcg_coverage,bcg_year_delta,population,median age,population growth rate,birth rate,death rate,net migration rate,maternal mortality rate,infant mortality rate,life expectancy at birth,total fertility rate,obesity - adult prevalence rate,school_shutdown_1case,school_shutdown_10case,school_shutdown_50case,school_shutdown_1death,FF_DayOfYear,case1_DayOfYear,case10_DayOfYear,case50_DayOfYear
Afghanistan,24/2/2020,22/3/2020,14/3/2020,24/3/2020,27/3/2020,0.17417881150581996,0.083333333,8.953005951124329,3.3720823906404545,5.27328049,1.9631703231819209,0.4981158910413298,15.82552215,1.962412494383544,2.9380144307200005,1.3933449285255042,1.7700298313053582,70.61433288141315,3.56,0,34,191,,1484,6,0,59,48,98,1,5,7,20,4,13,3,89,5,92,30,1809,5,0.085,,,8,2.84,14/3/2020,86,5,52.8,19.5,2.38,36.7,12.7,-0.1,638,104.3,52.8,4.82,5.5,19,0,-10,-8,82,55,74,84
Albania,9/3/2020,11/3/2020,10/3/2020,16/3/2020,23/3/2020,0.068699416,0.13005050505050506,27.01678431488417,13.225389824975467,4.571592237,3.2514253176738404,1.1222773720687502,2.614148915,8.372170760252345,0.051631681074299995,0.019658347,0.9806906954044156,12.241503672929234,19.09,62,72,1094,0,1102,55,10,265,263,676,4,18,74,55,0,86,17,234,27,192,187,2305,28.88,0.28,,45,,11.998,11/3/2020,99,5,79,34.3,0.28,13,7.1,-3.3,15,10.8,79,1.53,21.7,2,1,-5,0,71,69,70,76
Algeria,25/2/2020,12/3/2020,4/3/2020,16/3/2020,21/3/2020,0.15858819388282344,0.2285776144508069,17.005475868192548,6.4817290236089695,8.614000207770001,3.4754165631311063,0.9263084281699808,3.809943878,8.204560893875005,0.390350863,0.1245101074787528,1.1881415490933014,15.996728004419882,10.92,6,13,404,0,1675,28,8,213,84,267,7,4,18,73,8,129,10,267,15,386,137,2945,19,,3204,599,825,18.3,12/3/2020,99,5,77.5,28.9,1.52,20,4.4,-0.9,112,17.6,77.5,2.59,27.4,16,8,-4,0,72,56,64,76
Andorra,2/3/2020,22/3/2020,17/3/2020,19/3/2020,22/3/2020,0.082774037,0.3452380952380952,13.784687901664267,17.87927851,4.381889021,4.771666828410284,1.5613892082297691,2.507505097,13.608032063903725,0.334844835,0.002159372,0.34055063975232264,18.236080130387922,14.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/3/2020,,,83,46.2,-0.06,7,7.7,0,,3.5,83,1.43,25.6,14,-1,-3,-6,82,62,77,79
Angola,20/3/2020,29/3/2020,,,,0.13214285714285712,0,4.480299624,3.011632192,2.733064596,1.7119807528318358,1.4396947189538127,20.52799916,1.8391048167521904,9.101146506980001,6.213008176334766,5.597667213494106,94.47100697498459,4.7,88,12,213,0,833,2,38,105,133,23,3,5,49,68,0,573,2,125,0,194,16,2057,8,0,,,,2.149,24/3/2020,79,5,61.3,15.9,3.43,42.7,8.5,-0.2,241,62.3,61.3,5.96,8.2,4,,,-5,89,80,,
Antigua and Barbuda,13/3/2020,,,,,0.047619048,,15.95782501437371,12.103094664375137,12.2100551,2.603435069028883,1.3558309287718358,4.226786898419999,6.499621202581247,1.863999571,0.5476425925425285,3.4164009636795547,35.4295039,6.75,112,75,747,0,667,10,84,179,342,228,15,8,29,22,17,41,24,283,4,228,63,1683,38,1.11,5,6,2,27.647,,,,77.3,32.7,1.18,15.4,5.8,2.1,,11.1,77.3,1.97,18.9,,,,,,73,,
Argentina,3/3/2020,8/3/2020,8/3/2020,16/3/2020,20/3/2020,0.11869613016529401,0.19122693703166627,15.781373121370766,13.962664971703555,6.642161183160001,4.140331071,1.655163038,4.992296123,9.060723952650477,0.9586674125839999,0.2522617304929037,0.9016274716607292,57.73190480669795,15.81,93,69,971,0,1088,56,13,95,612,205,,17,2,8,2,91,15,457,3,359,56,2267,50,,,,4500,39.6,16/3/2020,99,5,77.8,32.4,0.86,16,7.4,-0.1,39,9,77.8,2.21,28.3,13,8,0,8,68,63,68,76
Armenia,1/3/2020,26/3/2020,14/3/2020,16/3/2020,19/3/2020,0.12563451876828682,0.5138888888888888,25.348767139565282,14.673964438415773,8.057546359439996,3.6267841005570345,2.7321589914412368,2.8638792959500003,6.04908627,0.490339511,0.13739736051463922,1.2124862595106918,15.685065093319604,17.04,14,109,790,0,1186,45,11,156,260,347,7,18,14,27,1,77,43,326,19,220,198,2288,41.8,0.64,1011,784,419,28.99,2/3/2020,99,5,75.6,36.6,-0.3,11.9,9.5,-5.5,26,11.5,75.6,1.65,20.2,1,-12,-14,-24,86,61,74,76
Australia,26/1/2020,1/3/2020,3/3/2020,10/3/2020,14/3/2020,0.082560106,0.1366310892172961,12.176800097073126,17.040098242221177,5.382734009,5.335422654582157,0.9595096515619008,1.5939993631300002,11.214323883829598,0.135918807,0.009707509,0.22220372839918348,9.045839581629306,12.55,131,126,1034,0,771,31,40,110,496,318,14,23,44,9,7,87,34,384,56,555,75,2277,37.9,,4422,1591,3881,35.874,24/3/2020,,,82.7,37.5,1.4,12.4,6.9,8.1,6,3.1,82.7,1.74,29,58,21,14,23,61,26,63,70
Austria,25/2/2020,12/3/2020,1/3/2020,6/3/2020,8/3/2020,0.064460183,0.18348926582531075,17.256516139744186,17.358557884953527,6.499276154,4.348961969402323,2.034187747258688,1.188686179,10.396912676016443,0.203517455,0.00260632,0.2850681603669321,4.5746519815209785,14.15,208,388,1153,0,914,58,30,118,370,299,0,8,51,8,8,108,27,462,31,529,76,2540,76.47,,7767,2518,1761,51.441,16/3/2020,90,31,81.9,44.5,0.35,9.5,9.8,3.6,5,3.3,81.9,1.49,20.1,20,15,10,4,72,56,61,66
